sector,barrio,tarifa_base,recargo_distancia,tarifa_total
SECTOR GENERAL,PARQUE PRIMAVERA,9000,0,9000
SECTOR GENERAL,CIUDADELA EL DIVINO NIÑO,9000,0,9000
SECTOR GENERAL,LAS FERIAS,9000,0,9000
SECTOR GENERAL,GAITAN,9000,0,9000
SECTOR GENERAL,SAN GREGORIO,9000,0,9000
SECTOR CEREO UNO,SECTOR CEREO UNO,9000,0,9000
SECTOR CEREO UNO,MAIZARO,9000,0,9000
SECTOR CEREO UNO,"CONDOMINIO DUARY 1,2",9000,0,9000
SECTOR CEREO UNO,CERRO CAMPESTRE ALTO,9000,0,9000
SECTOR CEREO UNO,CERRO CAMPESTRE BAJO,9000,0,9000
SECTOR CEREO UNO,CONDOMINIO BOSQUES DE VIZCAYA,9000,0,9000
SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,9000,0,9000
SECTOR CEREO UNO,RESERVAS DEL VIZCAYA,9000,0,9000
SECTOR CEREO UNO,"CONJUNTO LOS ALMENDROS 1,2",9000,0,9000
SECTOR CEREO UNO,CAMINOS DE SEVILLA,9000,0,9000
SECTOR CEREO UNO,LLANO HERMOSO,9000,0,9000
SECTOR CEREO UNO,"CONJUNTO BONNANZA 1,2",9000,0,9000
SECTOR CEREO UNO,RINCON DEL LLANO,9000,0,9000
SECTOR CEREO UNO,TORRES DEL MEDITERRENO,9000,0,9000
SECTOR CEREO UNO,TERMINAL DE TRANSPORTE,10000,0,10000
SECTOR CEREO UNO,"QUINTA DE MORELIA 1,2,3",10000,0,10000
SECTOR CEREO UNO,CONDOMINIO VILLAVENTO,10000,0,10000
SECTOR CEREO UNO,CONDOMINIO CIUDAD REAL,10000,0,10000
SECTOR CEREO UNO,TORRES DE PRADERA,10000,0,10000
SECTOR CEREO UNO,CONDOMINIO VILLA VALERIA,10000,0,10000
SECTOR CEREO UNO,CONDOMINIO CANAGUAY,10000,0,10000
SECTOR GENERAL,JARDINES DE SANTORINE,10000,0,10000
SECTOR GENERAL,LLANO REAL CLUB HOUSE,10000,0,10000
SECTOR GENERAL,PALMAS DE VALLARTA,10000,0,10000
SECTOR GENERAL,CONJUNTO TERRABELA,10000,0,10000
SECTOR GENERAL,BOSQUES DE MORELIA,10000,0,10000
SECTOR GENERAL,"NUEVA ESPERANZA 1,2",10000,0,10000
SECTOR GENERAL,CONDOMINIO SIENDA MANOY,10000,0,10000
SECTOR GENERAL,QUINTAS DE SANTA CLARA,10000,0,10000
SECTOR GENERAL,BARRIO VILLA DEL ALCARABAN,10000,0,10000
SECTOR GENERAL,URBANIZACION CALATRABA,10000,0,10000
SECTOR GENERAL,TERRA VERDE,10000,0,10000
SECTOR GENERAL,ALAMEDA DEL BOSQUE,10000,0,10000
SECTOR GENERAL,REMANSOS DEL LLANO,10000,0,10000
SECTOR GENERAL,SAN GERARDO,10000,0,10000
SECTOR GENERAL,TERRA VELA,10000,0,10000
SECTOR GENERAL,AMARILO MORICHAL,14000,0,14000
SECTOR GENERAL,AMARILO CIMARON,14000,0,14000
SECTOR GENERAL,AMARILO ALBORADA,14000,0,14000
SECTOR GENERAL,AMARILO PIEDEMONTE,14000,0,14000
SECTOR GENERAL,AMARILO ARAUCO,14000,0,14000
SECTOR GENERAL,AMARILO ZAINOS,14000,0,14000
SECTOR GENERAL,"AMARILO PASOLLONO 1,2,3,4",14000,0,14000
SECTOR GENERAL,AMARILO ALCARABN,14000,0,14000
SECTOR GENERAL,AMARILO MAPIRE,14000,0,14000
SECTOR GENERAL,AMARILO OCARROS,14000,0,14000
SECTOR GENERAL,AMARILO ARBOLEDA CAMPESTRE,14000,0,14000
SECTOR GENERAL,AMARILO PRADO VERDE,14000,0,14000
SECTOR GENERAL,AMARILO ARBOLEDA CAMPESTRE IV 4,14000,0,14000
SECTOR GENERAL,"AMARILO LLANO ALTO 1,2,3,4",13000,0,13000
SECTOR GENERAL,VILLA HERMOSA,16000,0,16000
SECTOR GENERAL,CONDOMINIO CAMPSTRE CARACOLI,16000,0,16000
SECTOR GENERAL,GIMNASIO LOS ALCAZARES,17000,0,17000
SECTOR GENERAL,LAS MERCEDES,23000,0,23000
SECTOR GENERAL,"MULTIFAMILIARES CENTAUROS BLOQUE A,B,C,D",14000,0,14000
SECTOR GENERAL,PORTALES DE GRATAMIRA,14000,0,14000
SECTOR GENERAL,BALCONES DE GRATAMIRA,14000,0,14000
SECTOR GENERAL,"TORRES DE SALERMO 1,2",14000,0,14000
SECTOR GENERAL,CONDOMINIO SANTA ANA,14000,0,14000
SECTOR GENERAL,CONDOMINIO LA FONTANA,14000,0,14000
SECTOR GENERAL,CONDOMINIO SANTA PAULA,14000,0,14000
SECTOR GENERAL,PRADOS DE MARICURE,14000,0,14000
SECTOR GENERAL,UNIVERSIDAD UNIMINUTO,14000,0,14000
SECTOR GENERAL,CANCHA SINTETICA QUARZO,13000,0,13000
SECTOR GENERAL,RENAUULT CASATORO,13000,0,13000
SECTOR GENERAL,CHEVROLET,13000,0,13000
SECTOR GENERAL,NISSAN,13000,0,13000
SECTOR GENERAL,SUZUKI ALCALA MOTOR,12000,0,12000
SECTOR GENERAL,CANCHA MONACO,13000,0,13000
SECTOR GENERAL,BAR TERRAZA,12000,0,12000
SECTOR GENERAL,7 DE AGOSTO,9000,0,9000
SECTOR GENERAL,BARZAL BAJO,9000,0,9000
SECTOR GENERAL,BARZAL ALTO,10000,0,10000
SECTOR GENERAL,CLUB VILLAVICENCIO,10000,0,10000
SECTOR GENERAL,MESETAS,13000,0,13000
SECTOR GENERAL,ELECTRIFICADORA EMSA,11000,0,11000
SECTOR GENERAL,BALATA,10000,0,10000
SECTOR GENERAL,CAMOA,10000,0,10000
SECTOR GENERAL,SALLE,10000,0,10000
SECTOR GENERAL,POZO VEIENTE,13000,0,13000
SECTOR GENERAL,RECODO BARZAL,10000,0,10000
SECTOR GENERAL,AZOTEA,12000,0,12000
SECTOR GENERAL,HOSPITAL DEPARTAMENTAL,10000,0,10000
SECTOR GENERAL,HOSPITAL DE LA GENTE,10000,0,10000
SECTOR GENERAL,LIGA CONTRA EL CANCER,10000,0,10000
SECTOR GENERAL,SOMOS,10000,0,10000
SECTOR GENERAL,CLINICA PRIMAVERA,9000,0,9000
SECTOR GENERAL,CLINICA META,9000,0,9000
SECTOR GENERAL,NUEVA CLINICA BARZAL,9000,0,9000
SECTOR GENERAL,SERVIMEDICOS,9000,0,9000
SECTOR GENERAL,SANITAS,9000,0,9000
SECTOR GENERAL,CAJACOPI BARZAL,9000,0,9000
SECTOR GENERAL,CLINICA CARDIOVASCULAR,9000,0,9000
SECTOR GENERAL,SALUDA TOTAL,9000,0,9000
SECTOR GENERAL,CAPILLAS DE LA FE,9000,0,9000
SECTOR GENERAL,IPS MONTANO MEDICAL BUQUE,11000,0,11000
SECTOR GENERAL,IPS CUIDAR BUQUE,11000,0,11000
SECTOR GENERAL,IPS CENTRO MERDICO DE REHABULITACION,11000,0,11000
SECTOR GENERAL,IPS CENTRO TERAPEUTICO INTEGRAL,11000,0,11000
SECTOR GENERAL,LABORATORIO CLINICO,10000,0,10000
SECTOR GENERAL,UNIDAD AMBULATORIA DE ALTA COMPLEJI,9000,0,9000
SECTOR GENERAL,IPS MULTISALUD,9000,0,9000
SECTOR GENERAL,IPS PREVIS,9000,0,9000
SECTOR GENERAL,IPS REHABILITAR,9000,0,9000
SECTOR GENERAL,IPS SANTA BARBARA,10000,0,10000
SECTOR GENERAL,CLINICA OCULAR BUQUE,11000,0,11000
SECTOR GENERAL,EMPORIO,10000,0,10000
SECTOR GENERAL,TRIUNFO,11000,0,11000
SECTOR GENERAL,GALAN,12000,0,12000
SECTOR GENERAL,ALCACERES,12000,0,12000
SECTOR GENERAL,ESMERALDA,12000,0,12000
SECTOR GENERAL,GRAMA,12000,0,12000
SECTOR GENERAL,ESCUELA DE CARABINEROS,12000,0,12000
SECTOR GENERAL,DOCE DE OCTUBRE,12000,0,12000
SECTOR GENERAL,SANTA JOSEFA MILITAR,12000,0,12000
SECTOR GENERAL,SAN FELIPE,12000,0,12000
SECTOR GENERAL,PANORAMA,12000,0,12000
SECTOR GENERAL,VIRREY,13000,0,13000
SECTOR GENERAL,CAMPIÑA,13000,0,13000
SECTOR GENERAL,CHAPINERO BAJO,13000,0,13000
SECTOR GENERAL,CHAPINERO ALTO,13000,0,13000
SECTOR GENERAL,NUEVA GRANADA,13000,0,13000
SECTOR GENERAL,RONDINELA,13000,0,13000
SECTOR GENERAL,PRADERA,13000,0,13000
SECTOR GENERAL,ESCUELA DE CARABINEROS,12000,0,12000
SECTOR GENERAL,CONDOMINIO PUERTA DEL SOL,12000,0,12000
SECTOR GENERAL,"CONJUNTO RESIDENCIAL CAMBULOS 1,2,3",12000,0,12000
SECTOR GENERAL,"COJUNTO RESIDENCIAL SAN ANGEL 1,2",12000,0,12000
SECTOR GENERAL,CONJUNTO PRADROS DE SAN FRANCISCO,12000,0,12000
SECTOR GENERAL,"SAN ANGEL 1,2",12000,0,12000
SECTOR GENERAL,"LOS CAMBULOS 1,2,3",12000,0,12000
SECTOR GENERAL,PANORAMA DEL CAMPO,12000,0,12000
SECTOR GENERAL,LA ARENERA,13000,0,13000
SECTOR GENERAL,CAUDAL,11000,0,11000
SECTOR GENERAL,CONJUNTO TRIANGULO,11000,0,11000
SECTOR GENERAL,EDIFICIO MONTEBELLO,11000,0,11000
SECTOR GENERAL,"TORRES DEL CAUDAL 1,2",11000,0,11000
SECTOR GENERAL,TERRAZAS DEL LLANO,11000,0,11000
SECTOR GENERAL,TORRRES CLUB,11000,0,11000
SECTOR GENERAL,CLUB META,11000,0,11000
SECTOR GENERAL,EDIFICIO PLAZA,11000,0,11000
SECTOR GENERAL,ALAMEDA ORIENTAL CAUDAL,11000,0,11000
SECTOR GENERAL,EDIFICIO COSTA BELLA CAUDAL ALTO,11000,0,11000
SECTOR GENERAL,EDIDIFICIO AGORA,11000,0,11000
SECTOR GENERAL,CONJUNTO ARAGUANEY CAUDAL,11000,0,11000
SECTOR GENERAL,HOTEL DEL LLANO,11000,0,11000
SECTOR GENERAL,EDIFICIO BELLO HORISONTE CAUDAL,11000,0,11000
SECTOR GENERAL,CONJUNTO SARARE CAUDAL,11000,0,11000
SECTOR GENERAL,VALLES DE ARAGON,15000,0,15000
SECTOR GENERAL,GAVIOTAS,15000,0,15000
SECTOR GENERAL,FIKUS,15000,0,15000
SECTOR GENERAL,VILLAMELIA,15000,0,15000
SECTOR GENERAL,ACAPULCO,15000,0,15000
SECTOR GENERAL,KIRPAS,15000,0,15000
SECTOR GENERAL,VILLA SAMPER,15000,0,15000
SECTOR GENERAL,SABANA DE KIRPAS,15000,0,15000
SECTOR GENERAL,CAROLINA KIRPAS,15000,0,15000
SECTOR GENERAL,MIRADOR DEL LLANO 2,15000,0,15000
SECTOR GENERAL,CAVIVIR,15000,0,15000
SECTOR GENERAL,SOCIEGO KIRPAS,15000,0,15000
SECTOR GENERAL,MALOCAS,15000,0,15000
SECTOR GENERAL,METROPOLITANA KIRPAS,15000,0,15000
SECTOR GENERAL,VIVERO BIOAGRICOLA,15000,0,15000
SECTOR GENERAL,SANATONIO,15000,0,15000
SECTOR GENERAL,VILLA MARINA,17000,0,17000
SECTOR GENERAL,BRILLANTE,17000,0,17000
SECTOR GENERAL,"LA ROSITA ETAPA  1,2,3,",12000,0,12000
SECTOR GENERAL,DOÑA LUZ,12000,0,12000
SECTOR GENERAL,PANCANDE,12000,0,12000
SECTOR GENERAL,CHORILLANOS,12000,0,12000
SECTOR GENERAL,REMANSOS DE ROSABLANCA,12000,0,12000
SECTOR GENERAL,CONDOMINIO SAN SEBASTIAN,12000,0,12000
SECTOR GENERAL,"CONDOMINIO SANTA MARIA 1,2",12000,0,12000
SECTOR GENERAL,SEPTIMA BRIGADA DISTRITO MILITAR,12000,0,12000
SECTOR GENERAL,CONJUNTO BULEVAR  CODEM,12000,0,12000
SECTOR GENERAL,BOSQUE DE ROSABLANCA,12000,0,12000
SECTOR GENERAL,CONDOMINIO BOSQUES DE ARRAYANES,12000,0,12000
SECTOR GENERAL,RESERVAS DEL BOSQUE,12000,0,12000
SECTOR GENERAL,CONJUNTO VILLA EMAUS,12000,0,12000
SECTOR GENERAL,"CASIBARE 1,2",12000,0,12000
SECTOR GENERAL,CONJUNTO REMANSOS DEL BOSQUE,12000,0,12000
SECTOR GENERAL,VILLAS DEL MEDITERRANEO,12000,0,12000
SECTOR GENERAL,"SAN SILVESTRE 1,2,",13000,0,13000
SECTOR GENERAL,CANCHA MONACO,13000,0,13000
SECTOR GENERAL,AGUAS CLARAS,13000,0,13000
SECTOR GENERAL,"ESPERANZA ETAPA 6,7,8",10000,0,10000
SECTOR GENERAL,"ESPERANZA ETAPA 1,2,3,4,5",10000,0,10000
SECTOR GENERAL,BIBLIOTECA GERMAN ARCINIEGAS,10000,0,10000
SECTOR GENERAL,PUESTO DE SALUD ESPERANZA,10000,0,10000
SECTOR GENERAL,ROSABLANCA HORIENTAL,10000,0,10000
SECTOR GENERAL,LA VEGA,10000,0,10000
SECTOR GENERAL,VILLA BOLIVAR,10000,0,10000
SECTOR GENERAL,PARQUE VILLA BOLIVAR,10000,0,10000
SECTOR GENERAL,VILLA CLAUDIA,10000,0,10000
SECTOR GENERAL,URBANIZACION GUATIQUIA,9000,0,9000
SECTOR GENERAL,GARCIA BORQUES,9000,0,9000
SECTOR GENERAL,LA SIJIN,9000,0,9000
SECTOR GENERAL,COLEGIO GIMNASIO CAMPESTRE,10000,0,10000
SECTOR GENERAL,ACACIAS,10000,0,10000
SECTOR GENERAL,CONDOMINIO GALICIA,10000,0,10000
SECTOR GENERAL,CONJUNTO PLENAVIDA,10000,0,10000
SECTOR GENERAL,CONJUNTO 2001 ESPERANZA,10000,0,10000
SECTOR GENERAL,MULTIFAMILIARES LA ESPERENZA,10000,0,10000
SECTOR GENERAL,EDIFICIO NOGALES,10000,0,10000
SECTOR GENERAL,CORALINA,10000,0,10000
SECTOR GENERAL,ALBORADA,9000,0,9000
SECTOR GENERAL,SEMILLANOS,10000,0,10000
SECTOR GENERAL,CONUNEROS,10000,0,10000
SECTOR GENERAL,NUEVO RICAUTE,9000,0,9000
SECTOR GENERAL,EL JARDIN,9000,0,9000
SECTOR GENERAL,CENTAUROS,9000,0,9000
SECTOR GENERAL,PALMAR,10000,0,10000
SECTOR GENERAL,COOPERATIVO,10000,0,10000
SECTOR GENERAL,CARULU,10000,0,10000
SECTOR GENERAL,SESQUICENTENARIO,10000,0,10000
SECTOR GENERAL,SANTA MARTA,10000,0,10000
SECTOR GENERAL,SERRANIA,10000,0,10000
SECTOR GENERAL,CONJUNTO LA CABAÑA,9000,0,9000
SECTOR GENERAL,CONJUNTO PIAMONTE,10000,0,10000
SECTOR GENERAL,EDIFICIO SANTA MARIA RESERVADO,10000,0,10000
SECTOR GENERAL,CONJUNTO CERESOS,10000,0,10000
SECTOR GENERAL,CONDOMINIO LOS NOGALES,10000,0,10000
SECTOR GENERAL,PARQUES DE MONTEBELLO,10000,0,10000
SECTOR GENERAL,"HACIENDA TRAPICHE 1,2",11000,0,11000
SECTOR GENERAL,TRAPICHE,11000,0,11000
SECTOR GENERAL,ALTOS DEL TRAPICHE,11000,0,11000
SECTOR GENERAL,GUADUALES,11000,0,11000
SECTOR GENERAL,ALTOS VILLA CODEM,11000,0,11000
SECTOR GENERAL,CENTRO COMERCIAL PRIMAVERA,12000,0,12000
SECTOR GENERAL,CONDOMINIO MOTEARROYO,12000,0,12000
SECTOR GENERAL,CUJUNTO LAS MARGARITAS,11000,0,11000
SECTOR GENERAL,MARGARITA REAL,11000,0,11000
SECTOR GENERAL,CLINICA OCULAR,11000,0,11000
SECTOR GENERAL,BUQUE ALTO,11000,0,11000
SECTOR GENERAL,BUQUE,11000,0,11000
SECTOR GENERAL,COLEGIO DON BOSCO,12000,0,12000
SECTOR GENERAL,CONJUNTO ALTA GRACIA,13000,0,13000
SECTOR GENERAL,COJUNTO BUGANVILES,11000,0,11000
SECTOR GENERAL,CONDOMINIO LA RESERVA,12000,0,12000
SECTOR GENERAL,CONJUNTO UMABARY,12000,0,12000
SECTOR GENERAL,CONJUNTO LA SERRANIA,12000,0,12000
SECTOR GENERAL,CONDOMINIO MADEIRA,12000,0,12000
SECTOR GENERAL,TORRRES DE SANJUAN,11000,0,11000
SECTOR GENERAL,SECRETARIA DE LA MUJER,12000,0,12000
SECTOR GENERAL,PADAMIA CUARENTA,12000,0,12000
SECTOR GENERAL,CONJUNTO RICON DEL BUQUE,11000,0,11000
SECTOR GENERAL,QUINTAS DE SAN SOUCCI,12000,0,12000
SECTOR GENERAL,BALCONES DE TOLEDO,13000,0,13000
SECTOR GENERAL,PORTAL DE LOS OCOBOS,12000,0,12000
SECTOR GENERAL,URBANIZACION SANTA CATALINA,10000,0,10000
SECTOR GENERAL,VILLAS DE CATAMA,10000,0,10000
SECTOR GENERAL,PRADOS DE SEVERIA,10000,0,10000
SECTOR GENERAL,MARCO ANTONIO PINILLA,12000,0,12000
SECTOR GENERAL,PINILLA,11000,0,11000
SECTOR GENERAL,RODEO,13000,0,13000
SECTOR GENERAL,EL MILAGRO,11000,0,11000
SECTOR GENERAL,PRADOS DE SIVERIA,11000,0,11000
SECTOR GENERAL,ANTONIO VILLAVICENCIO,12000,0,12000
SECTOR GENERAL,COVISAN,11000,0,11000
SECTOR GENERAL,VILLAS DE CATAMA,11000,0,11000
SECTOR GENERAL,URBANIZACION COVISAN,11000,0,11000
SECTOR GENERAL,LOS GEMELOS,14000,0,14000
SECTOR GENERAL,CIUDAD SALITRE,12000,0,12000
SECTOR GENERAL,SAN CARLOS,13000,0,13000
SECTOR GENERAL,MARCOS BAJO PINILLA,12000,0,12000
SECTOR GENERAL,MORILLCHAL,12000,0,12000
SECTOR GENERAL,DELIRIO,11000,0,11000
SECTOR GENERAL,CONDOMINIO BARLOVENTO,10000,0,10000
SECTOR GENERAL,"CONDOMINIO BOSQUES DE ABAJAM 1,2,3",10000,0,10000
SECTOR GENERAL,"OKAVANGOS 1,2",14000,0,14000
SECTOR GENERAL,"NUEVA COLONBIA 1,2",15000,0,15000
SECTOR GENERAL,PARQUE HABITACIONAL LA ESMERALDA,16000,0,16000
SECTOR GENERAL,ALTOS DE OKAVANGO,14000,0,14000
SECTOR GENERAL,BALNEARIO EL RANCHO,18000,0,18000
SECTOR GENERAL,QUINTAS DE LLANO,18000,0,18000
SECTOR GENERAL,HOTEL EL CAMAPANARIO,12000,0,12000
SECTOR GENERAL,"AMARILO LLANO ALTO 1,2,3,4",13000,0,13000
SECTOR GENERAL,SAN JORGE,16000,0,16000
SECTOR GENERAL,EL RUBI,16000,0,16000
SECTOR GENERAL,SANTA LIBRADA,16000,0,16000
SECTOR GENERAL,GUATAPE,16000,0,16000
SECTOR GENERAL,CATUMARE,16000,0,16000
SECTOR GENERAL,SEMILLAS DE LA PAZ,16000,0,16000
SECTOR GENERAL,NUEVO JERUSALEN,16000,0,16000
SECTOR GENERAL,ALAMOS SANTA ROSA,16000,0,16000
SECTOR GENERAL,VILLA ORIENTE,16000,0,16000
SECTOR GENERAL,TEUSAQUILLO,17000,0,17000
SECTOR GENERAL,MONTECARLOS ALTO,16000,0,16000
SECTOR GENERAL,MOTECARLOS BAJO,16000,0,16000
SECTOR GENERAL,VILLA DEL SOL,16000,0,16000
SECTOR GENERAL,VILLA DEL RIO,16000,0,16000
SECTOR GENERAL,ROCHELA,16000,0,16000
SECTOR GENERAL,NUEVO HORISONTE,16000,0,16000
SECTOR GENERAL,PLAYA RICA,16000,0,16000
SECTOR GENERAL,LOMA LINDA,16000,0,16000
SECTOR GENERAL,VILLA LORENA,16000,0,16000
SECTOR GENERAL,CAPACHOS,15000,0,15000
SECTOR GENERAL,MARANATHA,16000,0,16000
SECTOR GENERAL,CONDOMINIO QUINTAS DE SANGORJE,16000,0,16000
SECTOR GENERAL,"RINCON DE LAS MARGARITAS 1,2,",16000,0,16000
SECTOR GENERAL,COJUNTO MONTECARLOS RESERVADO,16000,0,16000
SECTOR GENERAL,"CIUDAD DEL CAMPO 1,2,3,",16000,0,16000
SECTOR GENERAL,ACADEMIA MILITAR JOSE ANTONIO PAEZ,16000,0,16000
SECTOR GENERAL,CODOMINIO ALAMA,16000,0,16000
SECTOR GENERAL,CONDOMINIO SANTILLANAS DEL LLANO,16000,0,16000
SECTOR GENERAL,CONDOMINIO EL RINCON DE LAS LOMAS,17000,0,17000
SECTOR GENERAL,"SERRAMONTE 1,2,3,4,5,6,7",13000,0,13000
SECTOR GENERAL,LLANO LINDO,12000,0,12000
SECTOR GENERAL,LOS HEROES,13000,0,13000
SECTOR GENERAL,LAS AMERICAS,13000,0,13000
SECTOR GENERAL,LEON TRECE,13000,0,13000
SECTOR GENERAL,EL REFUGIO,12000,0,12000
SECTOR GENERAL,PARQUE FUNDADORES,11000,0,11000
SECTOR GENERAL,LA HACIENDA CENTRO COMERCIAL,12000,0,12000
SECTOR GENERAL,COLINA CAMPESTRE,13000,0,13000
SECTOR GENERAL,PISCINA LAS AMERICAS,14000,0,14000
SECTOR GENERAL,PISCINA JAMAICA,14000,0,14000
SECTOR GENERAL,SELVATICO,16000,0,16000
SECTOR GENERAL,VILLA SUAREZ,0,0,0
SECTOR GENERAL,SAN JOSE,0,0,0
SECTOR GENERAL,SAN MARCOS,8000,0,8000
